name,position,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.ev,assist1.ev,assist2.ev,points.ev,gfev,gaev,gfpp,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.GA,team.GA.EV,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,pos.clean,height,BD.Mod,birth.year,draft.end,draft.year,draft.season,draft.eligible
Doug Blaisdell,D,Kitchener Rangers,1997-02-20,66,82,1,5,9,15,0,0,0,0,0,5,8,13,53,62,1,2017-18 Regular Season,98,58,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,D,6.02,1997-02-20,1997,1997-09-15,2015,2018,N
Garrett McFadden,D,Guelph Storm,1997-08-21,68,163,6,14,24,44,5,5,9,19,1,7,12,20,63,91,34,2017-18 Regular Season,131,110,2584,2584,226,212,168,606,235,180,55,55,51,161,155,146,110,411,D,5.11,1997-08-21,1997,1997-09-15,2015,2018,N
Connor Schlichting,D,Sarnia Sting,1997-05-17,67,110,6,13,20,39,2,7,5,14,4,6,15,25,88,58,27,2017-18 Regular Season,77,125,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,D,6.03,1997-05-17,1997,1997-09-15,2015,2018,N
Nikita Korostelev,RW,Peterborough Petes,1997-02-08,64,217,30,34,11,75,9,19,8,36,20,14,3,37,54,62,41,2017-18 Regular Season,82,97,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,F,6.01,1997-02-08,1997,1997-09-15,2015,2018,N
Riley Bruce,D,North Bay Battalion,1997-07-16,67,122,5,6,9,20,2,5,3,10,3,1,5,9,65,72,12,2017-18 Regular Season,103,84,2584,2584,209,189,139,537,236,163,52,50,46,148,147,134,90,371,D,6.07,1997-07-16,1997,1997-09-15,2015,2018,N
Sean Day,D,Kingston Frontenacs,1998-01-09,50,120,5,17,25,47,3,9,14,26,2,8,9,19,59,60,32,2017-18 Regular Season,87,95,2584,2584,213,187,141,541,209,161,35,33,29,97,166,145,107,418,D,6.03,1998-01-09,1998,1998-09-15,2016,2018,N
Johnny Corneil,LW,Niagara IceDogs,1997-08-16,64,168,21,18,9,48,2,3,1,6,16,15,8,39,58,35,15,2017-18 Regular Season,59,78,2584,2584,238,228,178,644,246,166,59,58,54,171,161,155,116,432,F,5.11,1997-08-16,1997,1997-09-15,2015,2018,N
Maurizio Colella,LW,Flint Firebirds,1997-03-21,67,231,23,22,16,61,4,9,8,21,16,11,8,35,57,81,32,2017-18 Regular Season,122,99,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,F,6.00,1997-03-21,1997,1997-09-15,2015,2018,N
Connor Walters,D,Hamilton Bulldogs,1997-06-05,56,60,3,6,4,13,0,1,1,2,3,5,2,10,35,36,4,2017-18 Regular Season,52,43,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.01,1997-06-05,1997,1997-09-15,2015,2018,N
Ted Nichol,C,Kingston Frontenacs,1997-01-04,68,141,7,19,8,34,2,0,1,3,4,16,6,26,36,61,8,2017-18 Regular Season,78,49,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,F,5.11,1997-01-04,1997,1997-09-15,2015,2018,N
Hayden Verbeek,C,Sault Ste. Marie Greyhounds,1997-10-17,67,174,30,17,14,61,1,2,2,5,23,11,11,45,60,41,10,2017-18 Regular Season,58,84,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,F,5.09,1997-10-17,1997,1997-09-15,2016,2018,N
Stephen Gibson,D,Mississauga Steelheads,1997-03-03,68,78,1,4,5,10,0,1,0,1,1,2,5,8,52,53,1,2017-18 Regular Season,84,62,2584,2584,249,227,171,647,229,150,68,63,54,185,161,148,114,423,D,6.03,1997-03-03,1997,1997-09-15,2015,2018,N
James McEwan,LW,Guelph Storm,1997-03-15,64,220,13,8,14,35,3,0,3,6,10,8,11,29,44,49,8,2017-18 Regular Season,55,53,2584,2584,226,212,168,606,235,180,55,55,51,161,155,146,110,411,F,5.11,1997-03-15,1997,1997-09-15,2015,2018,N
Alex Di Carlo,D,Oshawa Generals,1997-03-25,45,62,4,5,2,11,0,1,0,1,4,1,2,7,27,30,2,2017-18 Regular Season,59,36,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,D,6.04,1997-03-25,1997,1997-09-15,2015,2018,N
Stephen Templeton,D,Hamilton Bulldogs,1997-01-26,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2017-18 Regular Season,5,0,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.02,1997-01-26,1997,1997-09-15,2015,2018,N
Keaton Middleton,D,Saginaw Spirit,1998-02-10,64,126,4,8,12,24,2,3,6,11,2,3,6,11,50,56,19,2017-18 Regular Season,91,81,2584,2584,194,185,145,524,218,161,39,39,38,116,136,131,98,365,D,6.06,1998-02-10,1998,1998-09-15,2016,2018,N
Cliff Pu,C,Kingston Frontenacs,1998-06-03,65,209,29,39,16,84,13,14,4,31,13,20,12,45,71,44,56,2017-18 Regular Season,73,135,2584,2584,232,210,153,595,238,160,50,47,40,137,150,141,104,395,F,6.02,1998-06-03,1998,1998-09-15,2016,2018,N
Sam Field,RW,Kingston Frontenacs,1998-02-04,14,19,5,0,0,5,0,0,0,0,5,0,0,5,8,6,0,2017-18 Regular Season,8,9,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,F,6.01,1998-02-04,1998,1998-09-15,2016,2018,N
Reagan O'Grady,D,Mississauga Steelheads,1998-12-15,55,85,6,5,8,19,1,1,1,3,4,4,7,15,51,49,6,2017-18 Regular Season,67,64,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,D,6.02,1998-12-15,1998,1998-09-15,2017,2018,N
Tye Felhaber,RW,Ottawa 67's,1998-08-05,68,250,31,24,15,70,6,4,4,14,25,18,11,54,70,71,21,2017-18 Regular Season,78,95,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,F,5.11,1998-08-05,1998,1998-09-15,2016,2018,N
Christopher Paquette,C,Peterborough Petes,1998-03-27,61,151,16,9,4,29,5,0,3,8,9,6,1,16,30,56,15,2017-18 Regular Season,105,50,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,F,6.02,1998-03-27,1998,1998-09-15,2016,2018,N
Michael Pezzetta,LW,Sarnia Sting,1998-03-13,62,185,23,16,13,52,7,5,3,15,14,11,10,35,43,53,28,2017-18 Regular Season,79,77,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,F,6.01,1998-03-13,1998,1998-09-15,2016,2018,N
Kyle Rhodes,D,Sudbury Wolves,1997-12-25,57,125,10,10,4,24,0,6,1,7,9,4,3,16,46,63,16,2017-18 Regular Season,110,64,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,D,6.03,1997-12-25,1997,1997-09-15,2016,2018,N
Noah Carroll,D,Sault Ste. Marie Greyhounds,1997-12-02,65,96,7,11,19,37,1,3,3,7,6,7,13,26,70,45,8,2017-18 Regular Season,67,94,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,D,6.01,1997-12-02,1997,1997-09-15,2016,2018,N
Matt Hotchkiss,LW,Guelph Storm,1998-02-06,68,112,14,5,5,24,1,0,1,2,13,5,3,21,33,42,9,2017-18 Regular Season,43,43,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,F,6.02,1998-02-06,1998,1998-09-15,2016,2018,N
Will Bitten,RW,Hamilton Bulldogs,1998-07-10,62,161,20,25,19,64,3,10,13,26,14,15,5,34,51,49,35,2017-18 Regular Season,70,90,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,5.11,1998-07-10,1998,1998-09-15,2016,2018,N
Nicholas Caamano,LW,Flint Firebirds,1998-09-07,64,237,25,23,9,57,6,3,0,9,16,19,9,44,57,50,18,2017-18 Regular Season,67,81,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,6.02,1998-09-07,1998,1998-09-15,2016,2018,N
Givani Smith,RW,Guelph Storm,1998-02-27,46,135,17,8,5,30,3,0,1,4,13,7,4,24,38,35,8,2017-18 Regular Season,47,50,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,6.02,1998-02-27,1998,1998-09-15,2016,2018,N
Brandon Saigeon,C,Hamilton Bulldogs,1998-06-14,65,239,35,21,14,70,16,6,7,29,17,13,7,37,57,30,42,2017-18 Regular Season,58,105,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,F,6.02,1998-06-14,1998,1998-09-15,2016,2018,N
Cole Candella,D,Sudbury Wolves,1998-02-13,68,133,5,14,14,33,2,4,8,14,3,9,6,18,55,84,22,2017-18 Regular Season,122,84,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,D,6.01,1998-02-13,1998,1998-09-15,2016,2018,N
Jack Hanley,D,Hamilton Bulldogs,1998-04-20,63,65,2,6,6,14,1,0,0,1,1,6,6,13,47,46,1,2017-18 Regular Season,75,54,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,5.11,1998-04-20,1998,1998-09-15,2016,2018,N
Ryan Valentini,C,Sudbury Wolves,1997-07-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-18 Regular Season,0,0,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,F,6.00,1997-07-13,1997,1997-09-15,2015,2018,N
Drake Rymsha,C,Sarnia Sting,1998-08-06,68,198,31,23,19,73,9,9,3,21,21,13,16,50,72,52,43,2017-18 Regular Season,63,117,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,F,6.00,1998-08-06,1998,1998-09-15,2016,2018,N
Benjamin Gleason,D,Hamilton Bulldogs,1998-03-25,63,177,9,20,19,48,6,9,10,25,3,11,9,23,64,37,44,2017-18 Regular Season,52,111,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.01,1998-03-25,1998,1998-09-15,2016,2018,N
Jonathan Ang,C,Peterborough Petes,1998-01-31,65,163,25,32,13,70,7,10,6,23,13,21,7,41,64,55,33,2017-18 Regular Season,84,102,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,F,6.00,1998-01-31,1998,1998-09-15,2016,2018,N
Travis Barron,LW,Ottawa 67's,1998-08-17,67,227,21,26,10,57,5,3,4,12,14,21,6,41,77,79,20,2017-18 Regular Season,97,107,2584,2584,223,200,142,565,249,179,44,42,40,126,159,145,98,402,F,6.01,1998-08-17,1998,1998-09-15,2016,2018,N
Michael McLeod,C,Mississauga Steelheads,1998-02-03,38,120,16,17,11,44,5,2,3,10,9,14,8,31,43,42,21,2017-18 Regular Season,59,68,2584,2584,249,227,171,647,229,150,68,63,54,185,161,148,114,423,F,6.02,1998-02-03,1998,1998-09-15,2016,2018,N
Jordan Kyrou,RW,Sarnia Sting,1998-05-05,56,166,39,40,30,109,14,13,15,42,23,26,14,63,69,43,48,2017-18 Regular Season,49,122,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,F,6.00,1998-05-05,1998,1998-09-15,2016,2018,N
Jonah Gadjovich,LW,Owen Sound Attack,1998-10-12,42,219,25,13,10,48,7,5,1,13,16,7,9,32,51,37,26,2017-18 Regular Season,58,81,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,F,6.02,1998-10-12,1998,1998-09-15,2017,2018,N
Alex Black,D,Peterborough Petes,1997-09-12,65,78,2,3,9,14,0,0,0,0,2,3,8,13,42,61,1,2017-18 Regular Season,96,49,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,D,6.01,1997-09-12,1997,1997-09-15,2015,2018,N
Logan Stanley,D,Kitchener Rangers,1998-05-26,61,169,15,12,15,42,3,2,6,11,12,10,8,30,79,72,15,2017-18 Regular Season,96,103,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,D,6.07,1998-05-26,1998,1998-09-15,2016,2018,N
Logan Brown,C,Kitchener Rangers,1998-03-05,32,116,22,17,9,48,4,6,4,14,18,10,5,33,42,28,16,2017-18 Regular Season,40,59,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,6.06,1998-03-05,1998,1998-09-15,2016,2018,N
Luke Kirwan,LW,Flint Firebirds,1997-09-23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017-18 Regular Season,1,0,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,F,6.03,1997-09-23,1997,1997-09-15,2016,2018,N
Daniil Vertiy,LW,North Bay Battalion,1998-11-12,31,57,2,3,6,11,0,1,3,4,2,2,3,7,15,14,9,2017-18 Regular Season,16,24,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,F,5.11,1998-11-12,1998,1998-09-15,2017,2018,N
Ben Hawerchuk,LW,Barrie Colts,1998-03-27,52,129,12,9,6,27,5,2,1,8,7,7,5,19,31,34,14,2017-18 Regular Season,51,49,2584,2584,296,280,213,789,273,187,62,61,55,178,203,195,147,545,F,5.11,1998-03-27,1998,1998-09-15,2016,2018,N
Kenny Huether,RW,Oshawa Generals,1997-08-06,67,241,30,13,11,54,11,4,3,18,14,8,8,30,44,33,23,2017-18 Regular Season,68,81,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,F,5.10,1997-08-06,1997,1997-09-15,2015,2018,N
Zach Poirier,RW,Guelph Storm,1998-05-12,54,88,8,4,5,17,3,0,0,3,5,4,5,14,23,33,5,2017-18 Regular Season,36,28,2584,2584,226,212,168,606,235,180,55,55,51,161,155,146,110,411,F,5.11,1998-05-12,1998,1998-09-15,2016,2018,N
Zach Shankar,D,Niagara IceDogs,1997-01-28,53,60,2,7,8,17,0,0,0,0,2,6,8,16,40,36,2,2017-18 Regular Season,53,45,2584,2584,213,187,141,541,209,161,35,33,29,97,166,145,107,418,D,6.00,1997-01-28,1997,1997-09-15,2015,2018,N
Mark Shoemaker,D,Guelph Storm,1997-09-28,66,50,1,4,5,10,0,0,0,0,1,4,5,10,44,50,1,2017-18 Regular Season,67,51,2584,2584,226,212,168,606,235,180,55,55,51,161,155,146,110,411,D,6.02,1997-09-28,1997,1997-09-15,2016,2018,N
Trenton Bourque,D,Owen Sound Attack,1998-06-11,62,62,0,5,12,17,0,0,0,0,0,5,10,15,61,70,1,2017-18 Regular Season,98,79,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,D,6.02,1998-06-11,1998,1998-09-15,2016,2018,N
Boris Katchouk,LW,Sault Ste. Marie Greyhounds,1998-06-18,58,195,42,29,14,85,8,6,8,22,26,21,6,53,81,34,30,2017-18 Regular Season,52,125,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,F,6.02,1998-06-18,1998,1998-09-15,2016,2018,N
Anthony Salinitri,LW,Sarnia Sting,1998-03-05,67,189,27,15,16,58,6,3,7,16,19,10,9,38,60,49,23,2017-18 Regular Season,77,87,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,F,5.11,1998-03-05,1998,1998-09-15,2016,2018,N
Jack Kopacka,RW,Sault Ste. Marie Greyhounds,1998-03-05,66,227,31,20,12,63,7,6,6,19,20,13,6,39,58,33,24,2017-18 Regular Season,41,88,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,F,6.02,1998-03-05,1998,1998-09-15,2016,2018,N
Tim Gettinger,LW,Sault Ste. Marie Greyhounds,1998-04-14,66,256,33,21,15,69,7,2,4,13,18,12,11,41,68,39,19,2017-18 Regular Season,66,103,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,F,6.06,1998-04-14,1998,1998-09-15,2016,2018,N
Lucas Chiodo,LW,Barrie Colts,1998-10-31,68,124,30,28,21,79,5,8,8,21,22,19,12,53,66,36,36,2017-18 Regular Season,53,109,2584,2584,296,280,213,789,273,187,62,61,55,178,203,195,147,545,F,5.06,1998-10-31,1998,1998-09-15,2017,2018,N
Matthew Timms,D,Peterborough Petes,1998-05-12,46,74,3,14,18,35,1,6,13,20,2,8,5,15,36,53,32,2017-18 Regular Season,71,69,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,D,5.09,1998-05-12,1998,1998-09-15,2016,2018,N
Adam Timleck,RW,Peterborough Petes,1998-02-26,39,102,13,11,5,29,3,2,2,7,10,9,3,22,28,23,21,2017-18 Regular Season,36,49,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,F,5.09,1998-02-26,1998,1998-09-15,2016,2018,N
Troy Lajeunesse,C,Erie Otters,1997-05-20,60,95,15,16,12,43,4,7,3,14,10,9,8,27,43,57,29,2017-18 Regular Season,70,75,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,F,5.08,1997-05-20,1997,1997-09-15,2015,2018,N
Sean Allen,D,Oshawa Generals,1998-04-21,52,26,0,2,2,4,0,0,0,0,0,2,2,4,37,29,0,2017-18 Regular Season,53,39,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,D,6.03,1998-04-21,1998,1998-09-15,2016,2018,N
Connor Hall,D,Kitchener Rangers,1998-02-21,47,54,0,9,2,11,0,0,0,0,0,8,2,10,43,35,0,2017-18 Regular Season,46,55,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,D,6.03,1998-02-21,1998,1998-09-15,2016,2018,N
Adam Mascherin,LW,Kitchener Rangers,1998-06-06,67,255,40,34,12,86,12,12,6,30,28,22,6,56,70,43,35,2017-18 Regular Season,58,105,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,5.09,1998-06-06,1998,1998-09-15,2016,2018,N
Connor Bunnaman,C,Kitchener Rangers,1998-04-16,66,205,27,15,8,50,9,3,4,16,14,12,4,30,45,45,31,2017-18 Regular Season,65,81,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,6.02,1998-04-16,1998,1998-09-15,2016,2018,N
TJ Fergus,D,Barrie Colts,1997-03-25,64,113,7,17,17,41,5,8,11,24,1,9,5,15,71,66,36,2017-18 Regular Season,92,116,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,5.11,1997-03-25,1997,1997-09-15,2015,2018,N
Jesse Saban,D,North Bay Battalion,1997-01-14,68,106,3,11,10,24,0,3,3,6,2,7,7,16,54,61,10,2017-18 Regular Season,91,69,2584,2584,209,189,139,537,236,163,52,50,46,148,147,134,90,371,D,6.01,1997-01-14,1997,1997-09-15,2015,2018,N
Patrick Fellows,LW,Erie Otters,1997-06-17,68,112,12,18,7,37,1,0,1,2,11,15,5,31,43,47,5,2017-18 Regular Season,61,52,2584,2584,216,205,158,579,245,186,41,41,38,120,162,152,115,429,F,6.03,1997-06-17,1997,1997-09-15,2015,2018,N
Trent Fox,LW,Mississauga Steelheads,1997-07-16,60,215,24,20,9,53,4,4,3,11,18,12,6,36,51,51,31,2017-18 Regular Season,82,90,2584,2584,249,227,171,647,229,150,68,63,54,185,161,148,114,423,F,6.03,1997-07-16,1997,1997-09-15,2015,2018,N
Kyle Maksimovich,LW,Erie Otters,1998-03-10,65,194,31,22,13,66,5,7,3,15,24,12,10,46,62,60,33,2017-18 Regular Season,86,100,2584,2584,216,205,158,579,245,186,41,41,38,120,162,152,115,429,F,5.09,1998-03-10,1998,1998-09-15,2016,2018,N
Taylor Raddysh,RW,Erie Otters,1998-02-18,58,212,33,33,17,83,8,11,10,29,22,19,7,48,67,47,39,2017-18 Regular Season,75,118,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,F,6.02,1998-02-18,1998,1998-09-15,2016,2018,N
Kevin Hancock,C,Owen Sound Attack,1998-03-02,53,245,24,33,12,69,6,8,2,16,15,20,9,44,66,47,25,2017-18 Regular Season,69,105,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,F,5.11,1998-03-02,1998,1998-09-15,2016,2018,N
Adrian Carbonara,RW,London Knights,1997-03-12,43,51,4,2,2,8,1,0,0,1,3,2,2,7,16,34,0,2017-18 Regular Season,37,17,2584,2584,232,210,153,595,238,160,50,47,40,137,150,141,104,395,F,6.02,1997-03-12,1997,1997-09-15,2015,2018,N
Jacob Friend,D,Owen Sound Attack,1997-07-28,61,105,3,17,10,30,2,2,0,4,1,12,10,23,85,73,5,2017-18 Regular Season,104,105,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,D,6.02,1997-07-28,1997,1997-09-15,2015,2018,N
Eric Henderson,LW,Oshawa Generals,1998-04-23,66,111,7,11,4,22,0,0,0,0,7,11,4,22,38,35,2,2017-18 Regular Season,44,41,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,F,6.02,1998-04-23,1998,1998-09-15,2016,2018,N
Johnathon Schaefer,D,Niagara IceDogs,1998-04-04,53,46,1,4,5,10,0,0,2,2,1,3,2,6,36,39,3,2017-18 Regular Season,58,45,2584,2584,238,228,178,644,246,166,59,58,54,171,161,155,116,432,D,5.09,1998-04-04,1998,1998-09-15,2016,2018,N
Kyle Langdon,C,Niagara IceDogs,1998-08-26,56,70,3,8,1,12,0,0,0,0,3,6,0,9,17,30,0,2017-18 Regular Season,45,22,2584,2584,238,228,178,644,246,166,59,58,54,171,161,155,116,432,F,5.11,1998-08-26,1998,1998-09-15,2016,2018,N
Jacob Cascagnette,C,Mississauga Steelheads,1997-03-22,64,114,17,12,4,33,7,2,0,9,8,9,4,21,27,45,19,2017-18 Regular Season,75,49,2584,2584,249,227,171,647,229,150,68,63,54,185,161,148,114,423,F,6.03,1997-03-22,1997,1997-09-15,2015,2018,N
Luke Burghardt,LW,North Bay Battalion,1998-05-12,68,191,28,25,18,71,5,11,6,22,22,14,12,48,58,53,37,2017-18 Regular Season,70,97,2584,2584,209,189,139,537,236,163,52,50,46,148,147,134,90,371,F,5.11,1998-05-12,1998,1998-09-15,2016,2018,N
Evan Krassey,RW,Sudbury Wolves,1998-04-01,6,9,2,0,1,3,0,0,0,0,2,0,1,3,7,6,0,2017-18 Regular Season,6,7,2584,2584,196,184,130,510,238,163,42,42,38,122,143,133,90,366,F,6.03,1998-04-01,1998,1998-09-15,2016,2018,N
Chase Campbell,RW,Owen Sound Attack,1998-06-24,57,73,3,11,6,20,0,0,0,0,3,10,6,19,32,39,2,2017-18 Regular Season,47,36,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,F,5.08,1998-06-24,1998,1998-09-15,2016,2018,N
Jacob Collins,LW,Flint Firebirds,1998-04-20,61,83,4,4,0,8,1,0,0,1,3,4,0,7,22,51,2,2017-18 Regular Season,70,24,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,F,6.01,1998-04-20,1998,1998-09-15,2016,2018,N
Riley Stillman,D,Hamilton Bulldogs,1998-03-09,62,119,5,18,11,34,0,4,1,5,5,12,10,27,64,42,10,2017-18 Regular Season,76,82,2584,2584,250,237,189,676,221,146,61,61,58,180,175,165,128,468,D,6.02,1998-03-09,1998,1998-09-15,2016,2018,N
Domenico Commisso,C,Oshawa Generals,1998-02-19,63,145,23,16,23,62,5,4,11,20,18,12,12,42,46,47,28,2017-18 Regular Season,60,75,2584,2584,247,221,166,634,250,168,54,54,49,157,168,154,113,435,F,6.00,1998-02-19,1998,1998-09-15,2016,2018,N
Mac Hollowell,D,Sault Ste. Marie Greyhounds,1998-09-26,63,120,12,27,17,56,2,10,5,17,10,13,11,34,72,44,26,2017-18 Regular Season,64,116,2584,2584,315,295,228,838,267,182,65,65,60,190,211,200,157,568,D,5.09,1998-09-26,1998,1998-09-15,2017,2018,N
Franco Sproviero,C,Sarnia Sting,1998-08-05,64,120,10,21,6,37,0,1,1,2,7,16,5,28,38,31,7,2017-18 Regular Season,41,52,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,F,5.09,1998-08-05,1998,1998-09-15,2016,2018,N
Logan DeNoble,LW,Peterborough Petes,1997-10-15,59,180,31,14,7,52,15,3,2,20,14,9,5,28,37,43,33,2017-18 Regular Season,77,76,2584,2584,220,205,144,569,264,173,61,61,57,179,144,134,85,363,F,5.11,1997-10-15,1997,1997-09-15,2016,2018,N
Mitchell Byrne,D,Erie Otters,1998-03-04,48,26,1,2,3,6,0,0,0,0,0,2,2,4,17,45,0,2017-18 Regular Season,52,20,2584,2584,240,218,178,636,198,145,56,56,52,164,171,152,121,444,D,5.11,1998-03-04,1998,1998-09-15,2016,2018,N
Hakon Nilsen,D,Flint Firebirds,1998-02-04,61,57,0,3,5,8,0,1,1,2,0,2,4,6,36,60,6,2017-18 Regular Season,77,46,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,D,6.00,1998-02-04,1998,1998-09-15,2016,2018,N
Liam Stevens,LW,Guelph Storm,1999-04-23,4,2,1,0,0,1,0,0,0,0,1,0,0,1,1,2,0,2017-18 Regular Season,2,1,2584,2584,226,212,168,606,235,180,55,55,51,161,155,146,110,411,F,5.09,1999-04-23,1999,1999-09-15,2017,2018,N
Isaac Ratcliffe,LW,Guelph Storm,1999-02-15,67,282,41,15,12,68,12,6,6,24,27,8,5,40,53,76,38,2017-18 Regular Season,99,98,2584,2584,226,212,168,606,235,180,55,55,51,161,155,146,110,411,F,6.06,1999-02-15,1999,1999-09-15,2017,2018,N
Cam Dineen,D,North Bay Battalion,1998-06-19,65,167,20,16,28,64,10,6,13,29,10,9,15,34,73,70,48,2017-18 Regular Season,101,126,2584,2584,296,277,205,778,234,174,66,65,57,188,213,198,142,553,D,5.11,1998-06-19,1998,1998-09-15,2016,2018,N
Brady Lyle,D,North Bay Battalion,1999-06-06,63,137,11,10,13,34,3,4,6,13,8,6,7,21,67,48,16,2017-18 Regular Season,65,85,2584,2584,286,262,200,748,257,182,56,55,53,164,203,186,140,529,D,6.01,1999-06-06,1999,1999-09-15,2017,2018,N
Max Kislinger,LW,Flint Firebirds,1998-02-11,58,85,8,4,5,17,0,0,1,1,6,4,4,14,25,36,5,2017-18 Regular Season,42,32,2584,2584,191,169,113,473,249,182,45,42,37,124,131,116,73,320,F,6.03,1998-02-11,1998,1998-09-15,2016,2018,N
Elijah Roberts,D,Niagara IceDogs,1999-01-23,64,107,8,7,13,28,0,5,5,10,6,2,8,16,55,46,16,2017-18 Regular Season,54,75,2584,2584,238,228,178,644,246,166,59,58,54,171,161,155,116,432,D,5.09,1999-01-23,1999,1999-09-15,2017,2018,N
Joseph Garreffa,RW,Kitchener Rangers,1999-08-09,68,103,12,26,27,65,4,9,10,23,8,17,17,42,67,57,33,2017-18 Regular Season,73,100,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,5.06,1999-08-09,1999,1999-09-15,2017,2018,N
Jake Henderson,RW,Kitchener Rangers,1997-02-12,68,138,13,11,7,31,0,0,0,0,12,9,7,28,48,42,1,2017-18 Regular Season,66,57,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,6.03,1997-02-12,1997,1997-09-15,2015,2018,N
Nick McHugh,LW,Kitchener Rangers,1999-02-13,66,80,11,9,6,26,0,0,0,0,8,9,6,23,29,32,0,2017-18 Regular Season,44,34,2584,2584,245,224,175,644,225,159,47,47,44,138,183,169,127,479,F,5.11,1999-02-13,1999,1999-09-15,2017,2018,N
Brendan Harrogate,RW,Mississauga Steelheads,1998-02-13,54,108,10,9,6,25,1,1,1,3,8,8,5,21,37,29,10,2017-18 Regular Season,32,48,2584,2584,249,227,171,647,229,150,68,63,54,185,161,148,114,423,F,6.01,1998-02-13,1998,1998-09-15,2016,2018,N
